is_aml_paper,arxiv_id,found_in_artifacts,paper_title,paper_authors,paper_pub_date,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months
YES,2308.03825,PyRIT,"""Do Anything Now"": Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models",Xinyue Shen; Zeyuan Chen; Michael Backes; Yun Shen; Yang Zhang,2023-08-07,,,,,,,,,,,,,2025-12-03,PyRIT,PyRIT:2025-12-03,27.9
YES,2308.13387,PyRIT,Do-Not-Answer: A Dataset for Evaluating Safeguards in LLMs,Yuxia Wang; Haonan Li; Xudong Han; Preslav Nakov; Timothy Baldwin,2023-08-25,,,,,,,,,,,,,2025-12-03,PyRIT,PyRIT:2025-12-03,27.3
YES,2309.10253,PyRIT,GPTFUZZER: Red Teaming Large Language Models with Auto-Generated Jailbreak Prompts,Jiahao Yu; Xingwei Lin; Zheng Yu; Xinyu Xing,2023-09-19,,,,,,,,,,,,,2024-09-20,PyRIT,PyRIT:2024-09-20,12.1
YES,2312.02119,PyRIT,Tree of Attacks: Jailbreaking Black-Box LLMs Automatically,Anay Mehrotra; Manolis Zampetakis; Paul Kassianik; Blaine Nelson; Hyrum Anderson...,2023-12-04,,,,,,,,,,,,,2025-07-02,PyRIT,PyRIT:2025-07-02; PyRIT:2025-08-22,18.9
YES,2401.06373,"HarmBench, PyRIT",How Johnny Can Persuade LLMs to Jailbreak Them: Rethinking Persuasion to Challenge AI Safety by Humanizing LLMs,Yi Zeng; Hongpeng Lin; Jingwen Zhang; Diyi Yang; Ruoxi Jia...,2024-01-12,,,,,,,,,,,,,2024-02-06,HarmBench,HarmBench:2024-02-06; PyRIT:2024-03-19,0.8
YES,2401.15817,PyRIT,Transparency Attacks: How Imperceptible Image Layers Can Fool AI Perception,Forrest McKee; David Noever,2024-01-29,,,,,,,,,,,,,2025-09-26,PyRIT,PyRIT:2025-09-26; PyRIT:2025-09-26; PyRIT:2025-12-29,19.9
YES,2402.04249,"HarmBench, PyRIT",HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal,Mantas Mazeika; Long Phan; Xuwang Yin; Andy Zou; Zifan Wang...,2024-02-06,,,,,,,,,,,,,2024-02-02,HarmBench,HarmBench:2024-02-02; PyRIT:2025-12-03,-0.1
YES,2402.16717,PyRIT,CodeChameleon: Personalized Encryption Framework for Jailbreaking Large Language Models,Huijie Lv; Xiao Wang; Yuansen Zhang; Caishuang Huang; Shihan Dou...,2024-02-26,,,,,,,,,,,,,2024-06-21,PyRIT,PyRIT:2024-06-21,3.8
NO - Exclude,2403.12025,PyRIT,A Toolbox for Surfacing Health Equity Harms and Biases in Large Language Models,Stephen R. Pfohl; Heather Cole-Lewis; Rory Sayres; Darlene Neal; Mercy Asiedu...,2024-03-18,,,,,,,,,,,,,2025-12-03,PyRIT,PyRIT:2025-12-03,20.5
YES,2404.01318,PyRIT,JailbreakBench: An Open Robustness Benchmark for Jailbreaking Large Language Models,Patrick Chao; Edoardo Debenedetti; Alexander Robey; Maksym Andriushchenko; Francesco Croce...,2024-03-28,,,,,,,,,,,,,2025-12-03,PyRIT,PyRIT:2025-12-03,20.2
YES,2404.15881,IBM ART,Steal Now and Attack Later: Evaluating Robustness of Object Detection against Black-box Adversarial Attacks,Erh-Chung Chen; Pin-Yu Chen; I-Hsin Chung; Che-Rung Lee,2024-04-24,,,,,,,,,,,,,2024-04-28,IBM ART,IBM ART:2024-04-28,0.1
YES,2406.14598,PyRIT,SORRY-Bench: Systematically Evaluating Large Language Model Safety Refusal,Tinghao Xie; Xiangyu Qi; Yi Zeng; Yangsibo Huang; Udari Madhushani Sehwag...,2024-06-20,,,,,,,,,,,,,2025-12-03,PyRIT,PyRIT:2025-12-03,17.4
NO - Exclude,2406.18682,PyRIT,The Multilingual Alignment Prism: Aligning Global and Local Preferences to Reduce Harm, Aakanksha; Arash Ahmadian; Beyza Ermis; Seraphina Goldfarb-Tarrant; Julia Kreutzer...,2024-06-26,,,,,,,,,,,,,2025-12-03,PyRIT,PyRIT:2025-12-03,17.2
YES,2408.03972,IBM ART,Enhancing Output Diversity Improves Conjugate Gradient-based Adversarial Attacks,Keiichiro Yamamura; Issa Oe; Hiroki Ishikura; Katsuki Fujisawa,2024-08-07,,,,,,,,,,,,,2019-11-08,IBM ART,IBM ART:2019-11-08,-57.0
NO - Exclude,2501.01151,PyRIT,Characteristic oscillations in frequency-resolved heat dissipation of linear time-delayed Langevin systems: Approach from the violation of the fluctuation-response relation,Xin Wang; Ruicheng Bao; Naruo Ohga,2025-01-02,,,,,,,,,,,,,2026-01-14,PyRIT,PyRIT:2026-01-14,12.4
NO - Exclude,2505.21605,PyRIT,SOSBENCH: Benchmarking Safety Alignment on Scientific Knowledge,Fengqing Jiang; Fengbo Ma; Zhangchen Xu; Yuetai Li; Bhaskar Ramasubramanian...,2025-05-27,,,,,,,,,,,,,2025-12-03,PyRIT,PyRIT:2025-12-03,6.2
